id,class,enrollment,gender,word
1,First-year,Full-time,Female,wish
1,First-year,Full-time,Female,reach
1,First-year,Full-time,Female,more
1,First-year,Full-time,Female,black
1,First-year,Full-time,Female,schools
1,First-year,Full-time,Female,went
1,First-year,Full-time,Female,poor
1,First-year,Full-time,Female,black
1,First-year,Full-time,Female,school
1,First-year,Full-time,Female,road
1,First-year,Full-time,Female,bellarmine
1,First-year,Full-time,Female,advisor
1,First-year,Full-time,Female,college
1,First-year,Full-time,Female,days
1,First-year,Full-time,Female,everything
1,First-year,Full-time,Female,bellarmine
1,First-year,Full-time,Female,stepped
1,First-year,Full-time,Female,foot
1,First-year,Full-time,Female,cause
1,First-year,Full-time,Female,bad
1,First-year,Full-time,Female,reputation
1,First-year,Full-time,Female,i'm
1,First-year,Full-time,Female,assuming
1,First-year,Full-time,Female,look
1,First-year,Full-time,Female,making
1,First-year,Full-time,Female,great
1,First-year,Full-time,Female,grades
1,First-year,Full-time,Female,doing
1,First-year,Full-time,Female,fine
2,First-year,Full-time,Female,feel
2,First-year,Full-time,Female,housing
2,First-year,Full-time,Female,specific
2,First-year,Full-time,Female,social
2,First-year,Full-time,Female,sorority
2,First-year,Full-time,Female,fraternity
2,First-year,Full-time,Female,help
2,First-year,Full-time,Female,having
2,First-year,Full-time,Female,support
2,First-year,Full-time,Female,system
2,First-year,Full-time,Female,closer
2,First-year,Full-time,Female,more
3,First-year,Full-time,Female,bellarmine
3,First-year,Full-time,Female,focused
3,First-year,Full-time,Female,image
3,First-year,Full-time,Female,quality
3,First-year,Full-time,Female,education
3,First-year,Full-time,Female,students
3,First-year,Full-time,Female,ridiculous
3,First-year,Full-time,Female,bellarmine
3,First-year,Full-time,Female,build
3,First-year,Full-time,Female,arch
3,First-year,Full-time,Female,construct
3,First-year,Full-time,Female,entire
3,First-year,Full-time,Female,new
3,First-year,Full-time,Female,building
3,First-year,Full-time,Female,putting
3,First-year,Full-time,Female,more
3,First-year,Full-time,Female,parking
3,First-year,Full-time,Female,residence
3,First-year,Full-time,Female,halls
3,First-year,Full-time,Female,academic
3,First-year,Full-time,Female,buildings
3,First-year,Full-time,Female,heard
3,First-year,Full-time,Female,plans
3,First-year,Full-time,Female,put
3,First-year,Full-time,Female,more
3,First-year,Full-time,Female,parking
3,First-year,Full-time,Female,quarto
3,First-year,Full-time,Female,know
3,First-year,Full-time,Female,project
3,First-year,Full-time,Female,moving
3,First-year,Full-time,Female,faster
3,First-year,Full-time,Female,terms
3,First-year,Full-time,Female,time
3,First-year,Full-time,Female,parking
3,First-year,Full-time,Female,lot
3,First-year,Full-time,Female,constructed
3,First-year,Full-time,Female,compared
3,First-year,Full-time,Female,building
3,First-year,Full-time,Female,supposed
3,First-year,Full-time,Female,take
3,First-year,Full-time,Female,years
3,First-year,Full-time,Female,build
3,First-year,Full-time,Female,yes
3,First-year,Full-time,Female,building
3,First-year,Full-time,Female,needed
3,First-year,Full-time,Female,school
3,First-year,Full-time,Female,business
3,First-year,Full-time,Female,other
3,First-year,Full-time,Female,needs
3,First-year,Full-time,Female,students
3,First-year,Full-time,Female,have
3,First-year,Full-time,Female,been
3,First-year,Full-time,Female,asking
3,First-year,Full-time,Female,new
3,First-year,Full-time,Female,building
3,First-year,Full-time,Female,satisfy
3,First-year,Full-time,Female,needs
3,First-year,Full-time,Female,much
3,First-year,Full-time,Female,have
3,First-year,Full-time,Female,been
3,First-year,Full-time,Female,asking
3,First-year,Full-time,Female,parking
3,First-year,Full-time,Female,arch
3,First-year,Full-time,Female,built
3,First-year,Full-time,Female,agree
3,First-year,Full-time,Female,nice
3,First-year,Full-time,Female,order
3,First-year,Full-time,Female,things
3,First-year,Full-time,Female,built
3,First-year,Full-time,Female,matter
3,First-year,Full-time,Female,believe
3,First-year,Full-time,Female,arch
3,First-year,Full-time,Female,have
3,First-year,Full-time,Female,come
3,First-year,Full-time,Female,later
3,First-year,Full-time,Female,hope
3,First-year,Full-time,Female,parking
3,First-year,Full-time,Female,issues
3,First-year,Full-time,Female,taken
3,First-year,Full-time,Female,care
3,First-year,Full-time,Female,supposed
3,First-year,Full-time,Female,new
3,First-year,Full-time,Female,dorms
3,First-year,Full-time,Female,built
3,First-year,Full-time,Female,nightmare
3,First-year,Full-time,Female,believe
3,First-year,Full-time,Female,requirement
3,First-year,Full-time,Female,go
3,First-year,Full-time,Female,college
3,First-year,Full-time,Female,achieve
3,First-year,Full-time,Female,success
3,First-year,Full-time,Female,past
3,First-year,Full-time,Female,does
3,First-year,Full-time,Female,mean
3,First-year,Full-time,Female,purpose
3,First-year,Full-time,Female,college
3,First-year,Full-time,Female,changed
3,First-year,Full-time,Female,college
3,First-year,Full-time,Female,used
3,First-year,Full-time,Female,rich
3,First-year,Full-time,Female,kids
3,First-year,Full-time,Female,wanted
3,First-year,Full-time,Female,learn
3,First-year,Full-time,Female,meaning
3,First-year,Full-time,Female,life
3,First-year,Full-time,Female,rest
3,First-year,Full-time,Female,people
3,First-year,Full-time,Female,start
3,First-year,Full-time,Female,jobs
3,First-year,Full-time,Female,high
3,First-year,Full-time,Female,school
3,First-year,Full-time,Female,start
3,First-year,Full-time,Female,career
3,First-year,Full-time,Female,college
3,First-year,Full-time,Female,degree
3,First-year,Full-time,Female,people
3,First-year,Full-time,Female,go
3,First-year,Full-time,Female,college
3,First-year,Full-time,Female,able
3,First-year,Full-time,Female,enter
3,First-year,Full-time,Female,workforce
3,First-year,Full-time,Female,most
3,First-year,Full-time,Female,get
3,First-year,Full-time,Female,job
3,First-year,Full-time,Female,learn
3,First-year,Full-time,Female,meaning
3,First-year,Full-time,Female,life
3,First-year,Full-time,Female,absurd
3,First-year,Full-time,Female,ask
3,First-year,Full-time,Female,students
3,First-year,Full-time,Female,take
3,First-year,Full-time,Female,many
3,First-year,Full-time,Female,general
3,First-year,Full-time,Female,education
3,First-year,Full-time,Female,classes
3,First-year,Full-time,Female,theology
3,First-year,Full-time,Female,philosophy
